ParentTermID,Count,Percent,ParentTermDescription,Ontology,EnrichedGOIDs,Term,Annotated,Significant,Expected,weightFisher,Class,GeneList,Contrast,Direction
GO:0140096,2,25,"catalytic activity, acting on a protein",MF,GO:0019787,ubiquitin-like protein transferase activity,98,4,1.57,0.0469,Molecular_Function,"pdam_00000163,pdam_00003015,pdam_00008393,pdam_00008969,pdam_00009070,pdam_00010556,pdam_00011995,pdam_00012014,pdam_00012736,pdam_00012958,pdam_00018857,pdam_00019450",Wounded 2h vs Wounded 0h,Upregulated
GO:0005739,1,50,mitochondrion,CC,GO:0005740,mitochondrial envelope,38,2,0.62,0.047,Cellular_Component,"pdam_00003431,pdam_00013840,pdam_00015392,pdam_00015455,pdam_00018049,pdam_00021589",Wounded 2h vs Wounded 0h,Upregulated
GO:0043226,1,50,organelle,CC,GO:0005740,mitochondrial envelope,38,2,0.62,0.047,Cellular_Component,"pdam_00003431,pdam_00013840,pdam_00015392,pdam_00015455,pdam_00018049,pdam_00021589",Wounded 2h vs Wounded 0h,Upregulated
NA,NA,NA,NA,MF,GO:0005515,protein binding,3234,81,51.86,1e-4,Molecular_Function,"pdam_00000014,pdam_00000064,pdam_00000286,pdam_00000352,pdam_00000381,pdam_00000410,pdam_00000513,pdam_00000529,pdam_00000597,pdam_00000638,pdam_00000653,pdam_00000700,pdam_00000736,pdam_00000791,pdam_00000796,pdam_00000964,pdam_00001107,pdam_00001240,pdam_00001355,pdam_00001370,pdam_00001540,pdam_00001600,pdam_00001649,pdam_00001678,pdam_00001687,pdam_00001693,pdam_00001755,pdam_00001939,pdam_00001971,pdam_00002081,pdam_00002115,pdam_00002150,pdam_00002162,pdam_00002224,pdam_00002278,pdam_00002322,pdam_00002445,pdam_00002503,pdam_00002554,pdam_00002594,pdam_00002608,pdam_00002624,pdam_00002687,pdam_00002880,pdam_00002935,pdam_00003082,pdam_00003095,pdam_00003096,pdam_00003203,pdam_00003219,pdam_00003283,pdam_00003343,pdam_00003351,pdam_00003477,pdam_00003481,pdam_00003491,pdam_00003505,pdam_00003506,pdam_00003697,pdam_00003711,pdam_00003734,pdam_00003945,pdam_00004030,pdam_00004111,pdam_00004113,pdam_00004236,pdam_00004325,pdam_00004417,pdam_00004502,pdam_00004733,pdam_00004743,pdam_00004804,pdam_00004842,pdam_00004917,pdam_00004922,pdam_00005047,pdam_00005117,pdam_00005191,pdam_00005209,pdam_00005282,pdam_00005368,pdam_00005375,pdam_00005427,pdam_00005465,pdam_00005619,pdam_00005727,pdam_00005768,pdam_00005858,pdam_00005907,pdam_00005912,pdam_00006110,pdam_00006121,pdam_00006324,pdam_00006463,pdam_00006525,pdam_00006636,pdam_00006642,pdam_00006657,pdam_00006682,pdam_00007060,pdam_00007131,pdam_00007134,pdam_00007159,pdam_00007239,pdam_00007357,pdam_00007444,pdam_00007493,pdam_00007552,pdam_00007559,pdam_00007567,pdam_00007571,pdam_00007730,pdam_00007750,pdam_00007774,pdam_00007836,pdam_00008046,pdam_00008063,pdam_00008126,pdam_00008160,pdam_00008204,pdam_00008237,pdam_00008393,pdam_00008510,pdam_00008561,pdam_00008670,pdam_00008680,pdam_00008818,pdam_00008969,pdam_00009093,pdam_00009110,pdam_00009116,pdam_00009340,pdam_00009344,pdam_00009441,pdam_00009468,pdam_00009485,pdam_00009550,pdam_00009553,pdam_00009588,pdam_00009936,pdam_00009952,pdam_00010105,pdam_00010155,pdam_00010256,pdam_00010273,pdam_00010344,pdam_00010345,pdam_00010593,pdam_00010608,pdam_00010615,pdam_00010758,pdam_00010793,pdam_00010824,pdam_00010890,pdam_00010990,pdam_00011338,pdam_00011358,pdam_00011402,pdam_00011570,pdam_00011616,pdam_00011701,pdam_00011739,pdam_00011832,pdam_00011918,pdam_00011940,pdam_00011949,pdam_00011995,pdam_00012035,pdam_00012101,pdam_00012212,pdam_00012274,pdam_00012526,pdam_00012546,pdam_00012769,pdam_00012914,pdam_00012938,pdam_00013095,pdam_00013147,pdam_00013154,pdam_00013172,pdam_00013305,pdam_00013310,pdam_00013314,pdam_00013462,pdam_00013529,pdam_00013566,pdam_00013786,pdam_00013810,pdam_00013922,pdam_00013943,pdam_00013980,pdam_00013981,pdam_00014060,pdam_00014298,pdam_00014586,pdam_00014637,pdam_00014658,pdam_00014916,pdam_00014959,pdam_00014990,pdam_00014997,pdam_00015032,pdam_00015170,pdam_00015207,pdam_00015217,pdam_00015299,pdam_00015303,pdam_00015319,pdam_00015394,pdam_00015396,pdam_00015403,pdam_00015409,pdam_00015438,pdam_00015494,pdam_00015592,pdam_00015758,pdam_00015998,pdam_00016002,pdam_00016165,pdam_00016177,pdam_00016509,pdam_00016711,pdam_00016734,pdam_00017083,pdam_00017282,pdam_00017349,pdam_00017449,pdam_00017495,pdam_00017581,pdam_00017611,pdam_00017729,pdam_00017784,pdam_00017971,pdam_00018125,pdam_00018199,pdam_00018228,pdam_00018352,pdam_00018527,pdam_00018534,pdam_00018562,pdam_00018645,pdam_00018793,pdam_00018835,pdam_00018900,pdam_00018950,pdam_00019081,pdam_00019130,pdam_00019180,pdam_00019365,pdam_00019447,pdam_00019517,pdam_00019542,pdam_00019569,pdam_00019576,pdam_00019651,pdam_00019706,pdam_00019762,pdam_00019785,pdam_00020096,pdam_00020127,pdam_00020289,pdam_00020359,pdam_00020365,pdam_00020375,pdam_00020381,pdam_00020400,pdam_00020414,pdam_00020418,pdam_00020504,pdam_00020588,pdam_00020766,pdam_00020772,pdam_00020996,pdam_00021005,pdam_00021088,pdam_00021668,pdam_00021695,pdam_00021716,pdam_00021877,pdam_00022019,pdam_00022061,pdam_00022365,pdam_00022471,pdam_00022662,pdam_00022718,pdam_00022740,pdam_00022847,pdam_00022994,pdam_00023068,pdam_00023261,pdam_00023282,pdam_00023572,pdam_00023622,pdam_00023715,pdam_00024005,pdam_00024229,pdam_00024503,pdam_00024539,pdam_00024567,pdam_00024621,pdam_00024639,pdam_00024741,pdam_00024751,pdam_00024838,pdam_00024941,pdam_00024953,pdam_00024958,pdam_00025704,pdam_00025760,pdam_00025814,pdam_00025834,pdam_00025880",Wounded 2h vs Wounded 0h,Upregulated
NA,NA,NA,NA,MF,GO:0005102,signaling receptor binding,95,6,1.52,0.0204,Molecular_Function,"pdam_00000638,pdam_00000700,pdam_00001687,pdam_00004325,pdam_00010344,pdam_00010345,pdam_00011358,pdam_00012101,pdam_00013810,pdam_00019706",Wounded 2h vs Wounded 0h,Upregulated
NA,NA,NA,NA,MF,GO:0050661,NADP binding,18,2,0.29,0.0331,Molecular_Function,"pdam_00000381,pdam_00003200,pdam_00006961,pdam_00019648",Wounded 2h vs Wounded 0h,Upregulated
NA,NA,NA,NA,BP,GO:0006793,phosphorus metabolic process,721,12,11.2,0.046,Biological_Process,"pdam_00001122,pdam_00002623,pdam_00002685,pdam_00002778,pdam_00002967,pdam_00003200,pdam_00003759,pdam_00004048,pdam_00004204,pdam_00004554,pdam_00004669,pdam_00005282,pdam_00005993,pdam_00006654,pdam_00007197,pdam_00007321,pdam_00007357,pdam_00007397,pdam_00007559,pdam_00007934,pdam_00007997,pdam_00008063,pdam_00008237,pdam_00008884,pdam_00009108,pdam_00009135,pdam_00009850,pdam_00010140,pdam_00010352,pdam_00010796,pdam_00013325,pdam_00013583,pdam_00013623,pdam_00013972,pdam_00014852,pdam_00014942,pdam_00014990,pdam_00015192,pdam_00015385,pdam_00015395,pdam_00015822,pdam_00016363,pdam_00017438,pdam_00017670,pdam_00017888,pdam_00018076,pdam_00018536,pdam_00020215,pdam_00020344,pdam_00020536,pdam_00021135,pdam_00021474,pdam_00021919,pdam_00022072,pdam_00022471,pdam_00023199,pdam_00023206,pdam_00023832,pdam_00024639,pdam_00024941",Wounded 2h vs Wounded 0h,Upregulated
GO:0005975,1,16.666666666666668,carbohydrate metabolic process,BP,GO:0005975,carbohydrate metabolic process,176,10,3.37,0.01752,Biological_Process,"pdam_00000926,pdam_00001101,pdam_00001159,pdam_00001222,pdam_00001288,pdam_00003200,pdam_00005487,pdam_00006209,pdam_00006321,pdam_00006654,pdam_00007557,pdam_00008996,pdam_00009092,pdam_00009850,pdam_00010610,pdam_00011349,pdam_00014501,pdam_00017446,pdam_00019315,pdam_00019447,pdam_00019501,pdam_00019648,pdam_00020742,pdam_00022105,pdam_00022343,pdam_00023199,pdam_00025737",Wounded 2h vs Wounded 0h,Downregulated
GO:0006091,1,16.666666666666668,generation of precursor metabolites and energy,BP,GO:0006091,generation of precursor metabolites and energy,45,4,0.86,0.04016,Biological_Process,"pdam_00003200,pdam_00006654,pdam_00011365,pdam_00020480,pdam_00020742",Wounded 2h vs Wounded 0h,Downregulated
GO:0006520,1,16.666666666666668,amino acid metabolic process,BP,GO:0009066,aspartate family amino acid metabolic process,15,3,0.29,0.01889,Biological_Process,"pdam_00000731,pdam_00018539,pdam_00021257",Wounded 2h vs Wounded 0h,Downregulated
GO:0006629,1,16.666666666666668,lipid metabolic process,BP,GO:0046854,phosphatidylinositol phosphate biosynthetic process,9,2,0.17,0.01199,Biological_Process,"pdam_00015192,pdam_00017670",Wounded 2h vs Wounded 0h,Downregulated
GO:0006914,1,16.666666666666668,autophagy,BP,GO:0006914,autophagy,15,3,0.29,0.00264,Biological_Process,"pdam_00004236,pdam_00006463,pdam_00015379,pdam_00016431",Wounded 2h vs Wounded 0h,Downregulated
