"genes","cluster","intersection_group"
"pdam_00020539",24,"Wounded 2h"
"pdam_00003959",15,"Wounded 2h"
"pdam_00019733",24,"Wounded 2h"
"pdam_00016580",24,"Wounded 2h"
"pdam_00012554",24,"Wounded 2h"
"pdam_00020772",15,"Wounded 2h"
"pdam_00020344",15,"Wounded 2h"
"pdam_00014339",24,"Wounded 2h"
"pdam_00020004",24,"Wounded 2h"
"pdam_00025024",24,"Wounded 2h"
"pdam_00014530",24,"Wounded 2h"
"pdam_00002081",24,"Wounded 2h"
"pdam_00006084",15,"Wounded 2h"
"pdam_00020058",24,"Wounded 2h"
"pdam_00008920",24,"Wounded 2h"
"pdam_00016713",22,"Wounded 2h and Wounded 4h"
"pdam_00013035",24,"Wounded 2h"
"pdam_00018835",15,"Wounded 2h"
"pdam_00008670",15,"Wounded 2h"
"pdam_00004236",24,"Wounded 2h"
"pdam_00016544",15,"Wounded 2h"
"pdam_00010000",15,"Wounded 2h"
"pdam_00016206",24,"Wounded 2h"
"pdam_00016216",24,"Wounded 2h"
"pdam_00018282",15,"Wounded 2h"
"pdam_00007157",15,"Wounded 2h"
"pdam_00007144",15,"Wounded 2h"
"pdam_00021773",21,"Wounded 4h"
"pdam_00020559",22,"Wounded 4h"
"pdam_00018347",21,"Wounded 4h"
"pdam_00014852",22,"Wounded 4h"
"pdam_00015998",22,"Wounded 4h"
"pdam_00015207",22,"Wounded 4h"
"pdam_00014865",22,"Wounded 4h"
"pdam_00013207",22,"Wounded 4h"
"pdam_00013211",22,"Wounded 4h"
"pdam_00014819",21,"Wounded 4h"
"pdam_00008338",22,"Wounded 4h"
"pdam_00013412",22,"Wounded 4h"
"pdam_00013420",21,"Wounded 4h"
"pdam_00018645",21,"Wounded 4h"
"pdam_00011616",21,"Wounded 4h"
"pdam_00024230",22,"Wounded 4h"
"pdam_00015960",21,"Wounded 4h"
"pdam_00015967",21,"Wounded 4h"
"pdam_00019501",21,"Wounded 4h"
"pdam_00003704",15,"Wounded 4h"
"pdam_00003681",15,"Wounded 4h"
