"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_Function","group"
"pdam_00015121",150.461388464521,-1.3014873354149,0.245468610708855,-5.30205198805873,1.14508219306134e-07,0.000384547227484825,"unknown function","Wounded_4 vs Control_4"
"pdam_00015181",2270.97484344105,-0.469204399546649,0.112318057052782,-4.17746186017227,2.94780073109834e-05,0.0158391228883376,"H-RAS: GTPase HRas (Murine sarcoma virus NS.C58)","Wounded_4 vs Control_4"
"pdam_00015293",708.92235402519,-0.414944279818613,0.11407488075689,-3.63747283420722,0.000275326220561232,0.0445597243469763,"DYNLRB2: Dynein light chain roadblock-type 2 (Bos taurus)","Wounded_4 vs Control_4"
"pdam_00015392",317.332317002578,-0.476794507978259,0.133590225059765,-3.56908230197945,0.000358233882971422,0.0495992040428687,"abcB1: ABC transporter B family member 1 (Dictyostelium discoideum)","Wounded_4 vs Control_4"
"pdam_00015396",16477.4789645024,0.460776270363986,0.116964484497899,3.93945454760897,8.16670718824477e-05,0.0243785283688204,"RPS27A: Ubiquitin-40S ribosomal protein S27a (Gallus gallus)","Wounded_4 vs Control_4"
"pdam_00015412",114.137579856995,-1.04676657260696,0.256338477087705,-4.08353277471026,4.43561699988978e-05,0.0196989300812749,"mgm101: Mitochondrial genome maintenance protein mgm101 homolog (Dictyostelium discoideum)","Wounded_4 vs Control_4"
"pdam_00016152",67.8095696408118,-0.927740330136711,0.262007321489838,-3.54089467752792,0.000398772726615784,0.0495992040428687,"unknown function","Wounded_4 vs Control_4"
"pdam_00016757",225.105168917817,-0.619957286298137,0.166782647686852,-3.71715699982265,0.000201477248401441,0.0386634839682365,"fam214a: Protein FAM214A (Xenopus tropicalis)","Wounded_4 vs Control_4"
"pdam_00017000",586.528549889293,1.02915437910947,0.286803947892928,3.58835499535621,0.0003327709875503,0.0491221173160789,"ZP domain-containing protein (Acropora millepora)","Wounded_4 vs Control_4"
"pdam_00017495",310.931256795205,-0.607271919354003,0.153353042766826,-3.95996002686013,7.49623099957805e-05,0.0228856525039391,"RABGGTA: Geranylgeranyl transferase type-2 subunit alpha (Sus scrofa)","Wounded_4 vs Control_4"
"pdam_00018128",49.5311239870489,-2.16907460908113,0.611596205274702,-3.54657957386586,0.000390266861196079,0.0495992040428687,"NAD-specific glutamate dehydrogenase (Achlya klebsiana)","Wounded_4 vs Control_4"
"pdam_00018516",92.629452681764,-3.0263997399444,0.797804857213286,-3.79340851660837,0.000148593391801614,0.0338314412215437,"unknown function","Wounded_4 vs Control_4"
"pdam_00018517",240.689321054212,-1.81390545501726,0.46965542447943,-3.86220484310983,0.000112368284484345,0.0290277531822731,"unknown function","Wounded_4 vs Control_4"
"pdam_00018518",146.557093439056,-1.55027551525715,0.423351646894932,-3.66190973066393,0.00025034207718362,0.04343860947833,"unknown function","Wounded_4 vs Control_4"
"pdam_00018595",459.91287707469,0.749452408481541,0.186773171279842,4.012634166599,6.00449311989239e-05,0.0205920635154077,"FCER2: Low affinity immunoglobulin epsilon Fc receptor (Homo sapiens)","Wounded_4 vs Control_4"
"pdam_00019317",397.728365225248,0.903616741727049,0.247329609862871,3.65349196251936,0.000258697890141175,0.04343860947833,"unknown function","Wounded_4 vs Control_4"
"pdam_00019696",58.8217150968235,-1.69634655677732,0.292501821363666,-5.79943929534804,6.65370189666143e-09,4.46895887889265e-05,"v1g228490: NAD(P)H-hydrate epimerase (Nematostella vectensis)","Wounded_4 vs Control_4"
"pdam_00020091",87.3371045116994,-2.20889359195864,0.403403912134815,-5.47563750750252,4.35939282277484e-08,0.000195199079294448,"unknown function","Wounded_4 vs Control_4"
"pdam_00020173",183.882688766496,-0.862029083831077,0.17826985803645,-4.83552908677822,1.32791954257499e-06,0.00223502952217319,"unknown function","Wounded_4 vs Control_4"
"pdam_00020605",313.720179264635,0.770469744818257,0.180962503994216,4.25762093147696,2.06613899440964e-05,0.0133849676790715,"WBSCR27: Williams-Beuren syndrome chromosomal region 27 protein (Homo sapiens)","Wounded_4 vs Control_4"
"pdam_00021061",81.0648717630473,-1.04401259971074,0.291650443635656,-3.57967087824825,0.000344027226160826,0.0495992040428687,"tmem107: Transmembrane protein 107 (Xenopus laevis)","Wounded_4 vs Control_4"
